infra,session_id,sentence,label
cdp-seattle-21723dcf,b3c9f239a5c3,But for now you can make general comments in this public comment period.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Go ahead, you have one minute.",
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Dear city council members, I'm a resident of district six, and I'm calling to ensure that Dan Strauss supports CB 120142 and the proposed amendment from the want to ensure that the policy is strongest and most coherent to serve the general public that it has promised to serve.",
cdp-seattle-21723dcf,b3c9f239a5c3,"As you all sit here today you have the opportunity to make history and guide local and even state governments across the nation and adopting such a policy that is not just historic, but long overdue.",
cdp-seattle-21723dcf,b3c9f239a5c3,It is common sense that the police department should not be training with military police's and other surveillance and security forces of countries with grave violations of human rights.,
cdp-seattle-21723dcf,b3c9f239a5c3,Now you have this opportunity and the responsibility to demilitarize the police and I'm asking you to be on the right side of the history and pass Council Bill 120142 with council members to want amendment.,
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you for your time.,
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you for calling in.,
cdp-seattle-21723dcf,b3c9f239a5c3,"I'm going to also call into the room now Shamir Tana looks like there might have been an accidental sign up for the public hearing on that, but the desire is to give public comment on other matters.",
cdp-seattle-21723dcf,b3c9f239a5c3,So let's go ahead and pull up caller number 56. Shamir Tana.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Okay, Shamir go ahead and press star six, we'll go ahead and unmute you.",
cdp-seattle-21723dcf,b3c9f239a5c3,Go ahead.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Oh, thank you for taking my call.",
cdp-seattle-21723dcf,b3c9f239a5c3,"My name is Shamir Tana, I'm a resident of District 7.",
cdp-seattle-21723dcf,b3c9f239a5c3,I'm calling in strong support of CB 120142 to stop SPD training if militaries are in violation of human rights according to international bodies like the UN.,
cdp-seattle-21723dcf,b3c9f239a5c3,"These are not opinions, this is international law.",
cdp-seattle-21723dcf,b3c9f239a5c3,Passing this bill is a necessary way for our city to demonstrate respect for human rights and dignity for all people.,
cdp-seattle-21723dcf,b3c9f239a5c3,It's common sense and there's absolutely no reason that SPD or any police matter for that matter should be training with militaries or police or security forces with internally documented grave violations of human rights.,
cdp-seattle-21723dcf,b3c9f239a5c3,"I also strongly urge to adopt Councilmember Sawant's amendment, which makes the policy strong and most coherent.",
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you for the time.,
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Okay, I'm going to do one quick scan here.",
cdp-seattle-21723dcf,b3c9f239a5c3,"Colleagues and members of the public, I do appreciate your patience.",
cdp-seattle-21723dcf,b3c9f239a5c3,I know that it was a little confusing.,
cdp-seattle-21723dcf,b3c9f239a5c3,There were a couple different options for folks to sign up for public comment this morning.,
cdp-seattle-21723dcf,b3c9f239a5c3,I think folks got a little confused between the land use bill and the legislation that is sponsored by Councilmember Sawant.,
cdp-seattle-21723dcf,b3c9f239a5c3,So I just want to do one quick review here to make sure that those who wanted to give general public comment on this and not the land use bill are actually going to have an opportunity to do that before we go ahead and close out public comment.,
cdp-seattle-21723dcf,b3c9f239a5c3,I'm doing a quick scan here just to double check.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Okay, I have someone who called in who's actually wanted to call in in favor of the resolution related to the designation of Lenny Wilkins as caller number 41.",
cdp-seattle-21723dcf,b3c9f239a5c3,That's George Northcroft.,
cdp-seattle-21723dcf,b3c9f239a5c3,"George, why don't we go ahead and bring you into the room and give you your one minute.",
cdp-seattle-21723dcf,b3c9f239a5c3,"Go ahead, George, we can hear you.",
cdp-seattle-21723dcf,b3c9f239a5c3,George I thought we could hear you a second ago now we can't make sure your actual device is also unmuted.,
cdp-seattle-21723dcf,b3c9f239a5c3,Can you hear me now.,
cdp-seattle-21723dcf,b3c9f239a5c3,"We can go ahead, George.",
cdp-seattle-21723dcf,b3c9f239a5c3,Okay.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Yes, I've been blessed to have Lenny Wilkins as a very close friend and extended family member for over 40 years.",
cdp-seattle-21723dcf,b3c9f239a5c3,"He's a gracious and inspiring man who has been recognized throughout the world as one of the greatest athletes, coaches, humanitarians, world ambassador, and advocate for children throughout his life.",
cdp-seattle-21723dcf,b3c9f239a5c3,"I've had the opportunity to meet Nelson Mandela, Bishop Fulton Sheen, Bishop Desmond Tutu, Prince Rene of Monaco and Prince Grace Kelly, Dr. Martin Luther King, Ted Turner, Andrew Young, Maynard Jackson, Jackie Robinson, President Barack Obama, and First Lady Michelle Obama, President Joe Biden, and First Lady Jill Biden, and Muhammad Ali and many others throughout his life.",
cdp-seattle-21723dcf,b3c9f239a5c3,"He's been guided by his mother Henrietta's words, your honesty and integrity to find your character.",
cdp-seattle-21723dcf,b3c9f239a5c3,Those that know Lenny well know he is a spiritual man and that his life aspirations surround his dedication to his wife and three children and seven grandchildren.,
cdp-seattle-21723dcf,b3c9f239a5c3,"He's a model, humble, very competitive.",
cdp-seattle-21723dcf,b3c9f239a5c3,He never quits or gets discouraged.,
cdp-seattle-21723dcf,b3c9f239a5c3,He's cool under pressure.,
cdp-seattle-21723dcf,b3c9f239a5c3,He's a world ambassador with an innate passion to help less fortunate.,
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you very much for designating Lenny Wilkins' way for Lenny Wilkins.,
cdp-seattle-21723dcf,b3c9f239a5c3,"God bless him and you, the council.",
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you so much for calling in today and for those wonderful remarks.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Okay, we have next it looks like Shani Zuniga is now with us.",
cdp-seattle-21723dcf,b3c9f239a5c3,So let's go ahead and give Shani their one minute.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Good afternoon, and thank you for the opportunity to speak as a Jewish Seattle resident.",
cdp-seattle-21723dcf,b3c9f239a5c3,My name is Shani Zuniga.,
cdp-seattle-21723dcf,b3c9f239a5c3,"I'm here today to implore you to vote no on the Anti-Semitic Legislation Council Bill 120142, which would prohibit SPD training with certain foreign governments.",
cdp-seattle-21723dcf,b3c9f239a5c3,"Not only does this legislation discredit racism in our policing system, but it will prohibit our police from working with countries on very important issues, such as the cooperation between Seattle Police Department and the Chinese government in combating sex trafficking.",
cdp-seattle-21723dcf,b3c9f239a5c3,"As a woman, and for that reason alone, I'm struggling to believe that this legislation is even being considered.",
cdp-seattle-21723dcf,b3c9f239a5c3,"So instead of considering this legislation, our elected representatives should be focusing on real policing reforms that our city desperately needs.",
cdp-seattle-21723dcf,b3c9f239a5c3,So please vote no on this legislation.,
cdp-seattle-21723dcf,b3c9f239a5c3,It will not fix the deep-rooted problems in our system of policing.,
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you.,
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you so much for calling in today.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Okay, folks, I'm going to do one last scan here.",
cdp-seattle-21723dcf,b3c9f239a5c3,"I think we have made it to our hour, and also through everyone who signed up to speak on matters of general public comment.",
cdp-seattle-21723dcf,b3c9f239a5c3,I'm just checking in with our IT folks just to make sure there isn't anyone else in the waiting room who signed up for general public comment in the interim.,
cdp-seattle-21723dcf,b3c9f239a5c3,There's nobody else.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Okay, great.",
cdp-seattle-21723dcf,b3c9f239a5c3,Thank you so much.,
cdp-seattle-21723dcf,b3c9f239a5c3,"Okay, folks, let's go ahead and end our period of public comment.",
cdp-seattle-21723dcf,1ca25fd1350f,The public comment period is now.,
cdp-seattle-21723dcf,1ca25fd1350f,Open.,
cdp-seattle-21723dcf,1ca25fd1350f,Each speaker will be given two minutes to speak.,
cdp-seattle-21723dcf,1ca25fd1350f, And let me load up my list here.,
cdp-seattle-21723dcf,1ca25fd1350f,The folks who have signed up.,
cdp-seattle-21723dcf,1ca25fd1350f,"The first Speaker, speakers signed up is David Haynes, although it.",
cdp-seattle-21723dcf,1ca25fd1350f,Looks like he is not present currently.,
cdp-seattle-21723dcf,1ca25fd1350f,So we will go to Stephanie Anderson and Stephanie Anderson.,
cdp-seattle-21723dcf,1ca25fd1350f,You are recognized for two minutes.,
cdp-seattle-21723dcf,1ca25fd1350f," Hi, thank you for your time.",
cdp-seattle-21723dcf,1ca25fd1350f,My name is Stephanie Anderson.,
cdp-seattle-21723dcf,1ca25fd1350f,I've been living in the sixth district here in valid for 24 years.,
cdp-seattle-21723dcf,1ca25fd1350f,I love this city.,
cdp-seattle-21723dcf,1ca25fd1350f,"I love Ballard and I've been, I've been a little distraught about the homeless encampment that have seemed to have gotten worse during the pandemic and I thought you guys a couple months ago and I just said, that's the plan.",
cdp-seattle-21723dcf,1ca25fd1350f,Let us know what's going on.,
cdp-seattle-21723dcf,1ca25fd1350f,I feel like there's a lack of information and I tried emailing and Contracting.,
cdp-seattle-21723dcf,1ca25fd1350f, My representatives and just generally the leaders in this city and I can't tell what's going on.,
cdp-seattle-21723dcf,1ca25fd1350f,I see a lot of criticism in the newspaper and online about why this is getting worse.,
cdp-seattle-21723dcf,1ca25fd1350f,"And and what I would love if you guys have a plan and I know that you do, if you would just be more public about it, be the stronger about disseminating it.",
