infra,session_id,sentence,type,similarity,label
cdp-seattle-21723dcf,79e99b4d52d7,There are no public commenters.,open,0.5442304,False
cdp-seattle-21723dcf,79e99b4d52d7,I don't believe we have anyone signed up for public comment.,open,0.53393054,False
cdp-seattle-21723dcf,79e99b4d52d7,We are adjourned.,open,0.41083416,False
cdp-seattle-21723dcf,c680bc60dca9,The public comment period is now open.,open,0.98621297,True
cdp-seattle-21723dcf,c680bc60dca9,"At this time, I will be opening the remote public comment period.",open,0.72735906,True
cdp-seattle-21723dcf,c680bc60dca9,The public comment link is also listed on today's agenda.,open,0.6736109,False
cdp-seattle-21723dcf,1ca25fd1350f,The public comment period is now.,open,0.8508403,True
cdp-seattle-21723dcf,1ca25fd1350f,The public comment period is going to be 20 minutes.,open,0.7049476,False
cdp-seattle-21723dcf,1ca25fd1350f,I will move on to public comment and give the the the normal admonitions hear about the remote public comment period.,open,0.65196943,True
cdp-seattle-21723dcf,72d669a798e7,And we will start with 20 minutes of public comment this morning and then move right into it.,open,0.5744364,False
cdp-seattle-21723dcf,72d669a798e7,"Last week, the FDA announced that the comment period had been extended for another 90 days based on the scope of the document and request from community.",open,0.48312482,False
cdp-seattle-21723dcf,72d669a798e7,"So if you intended on making comments about the budget, I'd ask for you to hold those comments until we convene as a select budget committee, which will happen as soon as we adjourn here.",open,0.41587305,False
cdp-seattle-21723dcf,6975777e9223,At this time we will open the remote general public comment period.,open,0.75672984,True
cdp-seattle-21723dcf,6975777e9223,The regular public comment period for this committee meeting is now open and we will begin with the first speaker on the list.,open,0.6713718,True
cdp-seattle-21723dcf,6d911f4e851c,"With that, the public comment period is now open, and we'll begin the first speaker on the list.",open,0.7446557,True
cdp-seattle-21723dcf,6d911f4e851c,The public comment period is 20 minutes.,open,0.69866216,False
cdp-seattle-21723dcf,6d911f4e851c,The public comment link is also on today's agenda.,open,0.6505568,False
cdp-seattle-21723dcf,669c54584054,"It's supposed to be open in the middle of next year, not the end of next year.",open,0.40574932,False
cdp-seattle-21723dcf,669c54584054,"And then, of course, looking forward to tomorrow night's very long and extensive public comment from the community, which I'm very much looking forward to.",open,0.3933821,False
cdp-seattle-21723dcf,669c54584054,"We don't have anything else to discuss, so we will be adjourned for today, and I will see you all at 2 o'clock.",open,0.38206986,False
cdp-seattle-21723dcf,a2161ab2ea79,So we will close out public comment given that there is nobody in the waiting room to give us public comment and begin on other items of business on our agenda.,open,0.6603253,False
cdp-seattle-21723dcf,a2161ab2ea79,We are going to look at the public comment sheet here.,open,0.6266443,False
cdp-seattle-21723dcf,a2161ab2ea79,There are no public comment registrants.,open,0.5410001,False
cdp-seattle-21723dcf,03e2809fffe1,"We have reached the end of our agenda, and our next meeting is actually a public hearing.",open,0.4163158,False
cdp-seattle-21723dcf,03e2809fffe1,It is out of date as of the time we submitted it to you.,open,0.37973487,False
cdp-seattle-21723dcf,03e2809fffe1,Last category here is supporting city workers and reopening.,open,0.3574366,False
cdp-seattle-21723dcf,fd7f4922bcc3,"We will start with the first session being on public hearing, a public comment period, again, for 30 minutes.",open,0.5815909,False
cdp-seattle-21723dcf,fd7f4922bcc3,"We will cut public comment off at 10, so we have enough time to get into the meat of the presentation, so we're going to start with Office of Housing.",open,0.50669944,False
cdp-seattle-21723dcf,fd7f4922bcc3,I am not seeing any additional comments at this point.,open,0.44835615,False
cdp-seattle-21723dcf,e67588012aa2,It is 2.02 p.m.,open,0.27820012,False
cdp-seattle-21723dcf,e67588012aa2,"So, colleagues, we have a very full agenda today, and I want to respect and thank particularly the appointees who are here, but I do want to say that given that the Chauvin verdict is about to be announced, I think it's appropriate for us to reschedule this committee meeting.",open,0.2476959,False
cdp-seattle-21723dcf,e67588012aa2,"The April 20, 2021 meeting of the Community Economic Development Committee will come to order.",open,0.24616532,False
cdp-seattle-21723dcf,19555e51df3c,"At this time, we will begin the open, we will open the remote public comment period for the items on today's agenda.",open,0.7441203,True
cdp-seattle-21723dcf,19555e51df3c,"And seeing as we have no additional speakers signed up or remotely present, the public comment period is now closed.",open,0.7384787,False
cdp-seattle-21723dcf,19555e51df3c,"The public comment period is now open, and we will begin with the first speaker on the list.",open,0.73160374,True
cdp-seattle-21723dcf,80858d2f932a,It reminds the strong intent of the city council to have remote public comment regularly included on meeting agendas however as a reminder city council reserves the right to end or eliminate these public comment periods at any point we deem that the system is being abused or is no longer suitable for allowing our meetings to be conducted efficiently and effectively I will moderate public comment period in the following manner the public comment period since we have 10 speakers will be for 20 minutes and each speaker will be given two minutes to speak speakers are called upon in the order in which they registered to provide public comment on the council's website each speaker must call in from the phone number used for the registration and using the meeting phone number id and passcode that was emailed to them upon confirmation this is different than the general meeting listen line calling information I'm at this time only seeing one individual not present Jim Wilson again I will call on each speaker by name and in the order in which they registered on the council's website if you have not yet registered to speak and would like to you can sign up before the end of public comment by going to the council's website at seattle.gov forward slash council the public comment link is also listed on today's agenda once I call on the speaker's name staff will unmute the appropriate microphone and an automatic prompt if you have been unmuted will be the speaker's cue that is their turn to speak and then the speaker must press star six to begin speaking please begin speaking by stating your name and the item in which you are addressing as a reminder public comment should relate to an item on today's agenda and or introduction referral calendar so we are just commenting on today's agenda and introduction or referral calendar speakers will hear a chime when 10 seconds are left of the allotted time once you hear that chime we ask to begin to wrap up public comment speakers do not end their public comments at the end of the allotted time provided the speaker's microphone will be unmuted will be muted to allow us to call on the next speaker once you have completed your public comment we ask you please disconnect from the line and if you plan to continue following the meeting please do so via seattle channel or the listening options listed on the agenda the public comment period is now open and we will begin with the first speaker on a list,open,0.4877519,False
cdp-seattle-21723dcf,80858d2f932a,Good morning mr gale how good afternoon mr gale how are you today good afternoon howard gale and i want the clock to stop because council member straus you've incorrectly stated what the rules are for public comment public comment for committees is different from the full council anyone can comment on items in the full council that have to do with the yearly action plan and that includes the budget and that includes public safety so i would like my time to be restarted and i would also like again to state for other listeners that the uh stipulations stated by council member straus are wholly incorrect mr gale good afternoon would you like to clerk you can restart the clock we will accept mr gale we will accept comments on the work plan today yes and um because i'd rather us continue in a good way than to have an argument today so two minutes have been restarted and there you go thank you howard gale district 7 speaking on budget and failed police accountability part of the council's work plan last week kow published more information on the ongoing oig scandal involving a failure of the opa to properly investigate police abuse and a failure of the oig to perform its mandated function of providing a critical review of opa investigations,open,0.40536958,False
